"Faixa Etária det","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"15 a 19 anos",0,0,1,1,0,1,1,1,0,0,2,2,1,2,0,1,1,1,2,1,0,0,0,1,0,0,1,1
"20 a 24 anos",0,2,3,3,3,0,0,3,2,0,0,0,0,1,2,2,2,0,1,4,3,7,2,2,6,1,0,2
"25 a 29 anos",5,4,3,3,1,2,2,1,3,4,4,2,2,2,1,2,4,3,2,2,3,3,2,3,1,3,4,5
"30 a 34 anos",8,7,4,7,3,6,5,7,2,3,7,1,9,11,8,7,8,10,6,5,5,3,6,8,2,7,11,7
"35 a 39 anos",18,38,41,22,23,28,24,30,41,24,24,27,27,19,26,31,17,28,21,25,21,24,12,26,18,18,28,15
"40 a 44 anos",102,121,95,124,101,93,101,97,93,106,86,84,111,85,103,107,97,100,83,89,102,99,74,97,62,85,62,67
"45 a 49 anos",173,188,206,202,198,236,252,242,250,259,265,256,269,265,213,237,302,244,231,224,222,224,186,223,174,190,180,177
"50 a 54 anos",241,291,262,267,276,293,331,318,335,381,375,407,433,431,447,478,442,444,451,418,429,421,401,395,392,335,319,340
"55 a 59 anos",283,328,335,334,314,310,356,333,389,426,460,467,483,499,514,559,630,588,582,628,623,597,581,603,576,571,528,511
"60 a 64 anos",320,377,337,367,349,360,376,399,396,399,444,437,483,458,487,532,592,571,609,643,701,689,713,651,666,690,731,706
"65 a 69 anos",303,343,329,337,332,358,344,314,375,402,369,428,450,412,430,443,553,498,498,571,575,577,605,682,685,712,719,735
"70 a 74 anos",264,270,283,279,270,284,310,255,326,317,349,367,340,359,377,386,450,440,429,450,464,493,515,478,533,539,576,577
"75 a 79 anos",158,132,160,151,153,198,189,227,218,237,245,252,281,257,277,255,331,316,327,372,343,355,346,366,353,365,439,458
"80 anos e mais",142,151,143,165,148,150,166,195,181,228,259,247,275,275,302,323,352,391,380,376,357,407,415,448,428,438,434,465
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
