"Faixa Etária det","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995"
"15 a 19 anos",2,0,3,4,1,1,0,4,4,1,1,0,0,2,0,1
"20 a 24 anos",1,2,0,1,1,0,1,1,4,3,1,2,1,2,1,0
"25 a 29 anos",0,3,2,4,3,3,3,4,1,1,1,2,1,1,2,7
"30 a 34 anos",5,9,6,5,12,7,4,9,5,11,8,1,3,5,10,14
"35 a 39 anos",25,15,17,16,17,17,24,23,19,22,23,25,26,36,29,36
"40 a 44 anos",48,50,55,68,58,55,70,72,69,63,66,68,61,101,78,99
"45 a 49 anos",123,126,116,134,148,125,123,135,144,118,127,116,174,172,184,163
"50 a 54 anos",193,203,203,211,222,231,180,249,207,254,233,231,255,242,275,255
"55 a 59 anos",208,214,241,243,233,251,279,244,274,299,268,281,298,298,319,312
"60 a 64 anos",208,221,227,213,241,271,242,264,278,277,301,298,312,334,307,361
"65 a 69 anos",184,189,216,186,193,201,217,224,183,252,230,260,267,280,306,342
"70 a 74 anos",154,154,136,168,162,175,151,145,164,152,162,181,194,210,214,231
"75 a 79 anos",95,108,87,96,103,114,108,127,109,127,117,143,125,131,133,138
"80 anos e mais",65,77,71,61,65,85,86,110,102,106,95,121,104,127,113,122
