"Faixa Etária det","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"15 a 19 anos",0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
"20 a 24 anos",1,3,2,2,0,1,0,2,1,0,0,0,3,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0
"25 a 29 anos",0,3,1,2,2,2,1,1,1,1,1,0,2,2,1,0,1,2,2,1,1,1,2,3,1,0,1,1
"30 a 34 anos",0,5,3,1,0,5,3,0,1,0,3,1,0,1,1,5,2,1,4,1,2,4,1,0,2,1,4,0
"35 a 39 anos",2,5,3,4,3,7,6,10,0,2,5,4,7,8,6,7,6,4,7,4,5,5,3,3,3,1,2,4
"40 a 44 anos",7,12,10,15,11,14,11,12,14,15,17,14,15,10,10,5,16,8,11,13,10,8,10,7,6,9,7,12
"45 a 49 anos",19,19,17,21,11,17,32,22,20,26,27,24,24,26,30,27,37,26,16,20,20,24,26,23,23,20,22,19
"50 a 54 anos",28,27,31,24,27,33,29,30,26,27,42,30,45,49,34,54,61,44,43,38,47,55,36,43,36,46,43,49
"55 a 59 anos",39,39,35,37,39,28,37,35,33,34,46,58,61,49,66,72,64,68,70,68,76,81,65,74,65,65,66,68
"60 a 64 anos",33,37,53,40,40,56,41,39,62,63,59,57,65,54,43,62,54,68,77,113,81,82,103,67,86,100,89,94
"65 a 69 anos",47,33,42,40,37,47,47,39,42,41,57,56,52,40,50,73,70,64,74,88,75,90,95,81,82,104,104,85
"70 a 74 anos",48,45,41,32,36,52,45,42,50,52,52,61,66,53,62,65,80,59,65,60,62,77,74,77,81,85,77,76
"75 a 79 anos",41,32,36,38,18,25,38,36,33,49,44,48,48,40,52,51,56,62,55,67,57,80,69,68,72,63,56,81
"80 anos e mais",41,40,40,46,29,51,46,36,51,57,60,66,67,74,73,98,105,99,92,99,92,94,111,101,122,111,105,132
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
