"Faixa Etária detalhada","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"15 a 19 anos não detalhado",6705370,6766039,6837013,6908171,6979131,7049915,7119337,7188445,7256099,7322084,7386349,7460490,7663400,7672920,7783640,7890555,8344205,8481129,8595667,8710797
"20 a 24 anos",5677083,5768802,5865225,5961935,6058312,6154466,6249496,6343332,6435197,6524811,6612146,6712435,6778062,6911599,7011375,7107684,7139927,7261872,7364306,7466941
"25 a 29 anos",4647438,4782179,4924298,5066967,5209265,5351070,5491684,5630165,5765792,5897906,6026832,6174959,6169565,6361250,6452682,6540820,6367636,6478463,6571473,6664640
"30 a 34 anos",3803946,3942249,4091704,4241638,4391197,4540299,4688352,4833970,4976497,5115392,5250872,5406785,5552081,5570111,5649771,5726726,6029763,6132690,6219042,6305524
"35 a 39 anos",3128215,3254178,3391295,3528846,3666049,3802808,3938787,4072300,4203093,4330454,4454787,4597824,4775587,4735422,4802719,4867765,5291491,5381029,5456260,5531552
"40 a 44 anos",2855016,2940172,3034115,3128460,3222405,3316176,3409295,3500833,3590433,3677740,3762926,3860918,4033440,3973338,4029571,4083886,4509207,4583895,4646582,4709353
"45 a 49 anos",2301672,2363808,2428174,2492796,2557281,2621482,2685288,2748003,2809430,2869277,2927680,2994785,3169359,3079327,3122744,3164728,3636557,3694559,3743189,3791977
"50 a 54 anos",2035380,2080665,2126234,2171954,2217509,2262915,2307944,2352284,2395712,2438049,2479311,2526581,2612184,2595790,2632217,2667372,2856908,2900682,2937294,2974052
"55 a 59 anos",1564670,1602999,1645322,1687769,1730101,1772276,1814356,1855518,1895886,1935189,1973573,2017494,2090625,2071715,2100528,2128382,2308837,2342737,2371068,2399507
"60 a 64 anos",1183799,1237981,1286753,1335644,1384445,1433124,1481395,1528883,1575417,1620775,1664956,1715601,1756751,1760671,1784982,1808496,1879672,1906201,1928325,1950532
"65 a 69 anos",984162,1011719,1042008,1072411,1102688,1132945,1162891,1192406,1221265,1249410,1276824,1308343,1363903,1341920,1360377,1378242,1496901,1517232,1534138,1551161
"70 a 74 anos",633195,648369,671215,694223,717121,739948,762537,784836,806640,827956,848684,872424,919247,894424,906755,918626,1042403,1056117,1067406,1078868
"75 a 79 anos",381351,397214,415525,433774,451977,470187,488233,506002,523360,540297,556856,575738,595412,589914,598107,605873,646103,654341,661160,668046
"80 anos e mais",239620,262323,282518,302675,322741,342839,362715,382346,401487,420196,438474,459319,496190,470598,477095,483278,591131,598434,604437,610500
