"Faixa Etária 2","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"De 15 a 19 anos",8880452,8903787,8901600,8872016,8816790,8749956,8689618,8648609,8630972,8632138,8632766,8633842,8639928,8644694,8643609,8620023,8560703,8468595,8350778,8225283,8104148,7995489,7867241,7751015
"De 20 a 24 anos",8118846,8327033,8497220,8624767,8714537,8769236,8793973,8793448,8765043,8710336,8615634,8508383,8441064,8412732,8409991,8418677,8425652,8420617,8404960,8400832,8395653,8358863,8276952,8164085
"De 25 a 29 anos",7067716,7197895,7357593,7550116,7768893,7994971,8202690,8373129,8501216,8591305,8624338,8607200,8575592,8524675,8450017,8361597,8276979,8209257,8162951,8150148,8166249,8187192,8193145,8190619
"De 30 a 34 anos",6565143,6619756,6685050,6761136,6848252,6953374,7084262,7244445,7436921,7654852,7867325,8049131,8199033,8310811,8384967,8420722,8422136,8394253,8334848,8255517,8171638,8094262,8033827,7999287
"De 35 a 39 anos",6065904,6169167,6256017,6328215,6387598,6441225,6498455,6566470,6644811,6733232,6832521,6950516,7099826,7282908,7491084,7703994,7895670,8047502,8154840,8227095,8265086,8266906,8241075,8189931
"De 40 a 44 anos",5273405,5413207,5549301,5679782,5805690,5923619,6028365,6117035,6191148,6252346,6304533,6357073,6421655,6497525,6583218,6684388,6808566,6959431,7140283,7347141,7558885,7743738,7890594,8000280
"De 45 a 49 anos",4381441,4527540,4674725,4821648,4966917,5109360,5249104,5385540,5516550,5642883,5759517,5861364,5948125,6021673,6083062,6138395,6196500,6264462,6341828,6429381,6529986,6644267,6786555,6966824
"De 50 a 54 anos",3513166,3646854,3781189,3916581,4054292,4195164,4338943,4484207,4629375,4772956,4913072,5049979,5184257,5313955,5439538,5556950,5661175,5749790,5824734,5888136,5942314,5988829,6048475,6127370
"De 55 a 59 anos",2729099,2821696,2930529,3051626,3179282,3309045,3439114,3569751,3701281,3834864,3971008,4109659,4250290,4391704,4532346,4670515,4806321,4939435,5067999,5193015,5305040,5390506,5464324,5538849
"De 60 a 64 anos",2231885,2281059,2326319,2373304,2430314,2503472,2594854,2701646,2819477,2942598,3066442,3189487,3312928,3437752,3565197,3695467,3828330,3962951,4098554,4234251,4362080,4474584,4588721,4712064
"De 65 a 69 anos",1698859,1746252,1801039,1859409,1916629,1969942,2017975,2062774,2109593,2165943,2236914,2324257,2425459,2536782,2652529,2768071,2882026,2995964,3110989,3228543,3341603,3443378,3552696,3678399
"De 70 a 74 anos",1281222,1305007,1328055,1353048,1383066,1420254,1465774,1518058,1573309,1627007,1676140,1719767,1760793,1804579,1857771,1924382,2005387,2098178,2199247,2303522,2399939,2480412,2563397,2662432
"De 75 a 79 anos",848360,879669,909909,937826,963110,986203,1008114,1030126,1054112,1082144,1115519,1155174,1200455,1248516,1295242,1338548,1377290,1413441,1451821,1498484,1550880,1604453,1669303,1752057
"De 80 anos ou mais",815147,840643,868422,898154,930109,964612,1001592,1039871,1078074,1115371,1152474,1190159,1228388,1268870,1312449,1359232,1410506,1466442,1525720,1585447,1634050,1663949,1694380,1747653
