"Faixa Etária detalhada","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"15 a 19 anos não detalhado",6864066,6912903,6978700,7044748,7110631,7176222,7240597,7304669,7367405,7428546,7488258,7556982,7723704,7778157,7890286,7998699,8334314,8473416,8590409,8707290
"20 a 24 anos",5840244,5919669,6014828,6110436,6205790,6300769,6394686,6487499,6578334,6666850,6753199,6852443,6914195,7059360,7160425,7258212,7268133,7393006,7497813,7602777
"25 a 29 anos",4802051,4945365,5100284,5255783,5410813,5565315,5718471,5869330,6017088,6161117,6301625,6463119,6440949,6660512,6755195,6846726,6599725,6713834,6809687,6905618
"30 a 34 anos",3886140,4038940,4203996,4369765,4535004,4699721,4863201,5024010,5181592,5335004,5484725,5656708,5825383,5828908,5911223,5990948,6361461,6469749,6560733,6651837
"35 a 39 anos",3227384,3366290,3519359,3672878,3826028,3978710,4130332,4279468,4425471,4567705,4706455,4865939,5049831,5011260,5081450,5149575,5592389,5685747,5764109,5842469
"40 a 44 anos",2870468,2964125,3067149,3170517,3273736,3376436,3478605,3578927,3677262,3773024,3866436,3973796,4178189,4088796,4145657,4200807,4729514,4805899,4870018,4934198
"45 a 49 anos",2352516,2421955,2494231,2566762,2639062,2711132,2782654,2853018,2921963,2989177,3054638,3129903,3315426,3217979,3262558,3305731,3808785,3867704,3917151,3966579
"50 a 54 anos",2074542,2123882,2176364,2229045,2281643,2334008,2386137,2437281,2487443,2536227,2583882,2638547,2738882,2711380,2748668,2784798,3011521,3056287,3093886,3131450
"55 a 59 anos",1582229,1638967,1698745,1758762,1818636,1878256,1937373,1995656,2052717,2108271,2162549,2224630,2302705,2285074,2316224,2346436,2534135,2569948,2600102,2630201
"60 a 64 anos",1254250,1317013,1378617,1440617,1502324,1563775,1625037,1685098,1743888,1801200,1857133,1921257,1970280,1973045,1999764,2025576,2113043,2142458,2167206,2191950
"65 a 69 anos",1048485,1082389,1121653,1161166,1200528,1239681,1278869,1317101,1354625,1391228,1426893,1467717,1544078,1506580,1526950,1546651,1733730,1757205,1776910,1796691
"70 a 74 anos",695184,720509,750861,781223,811536,841769,871911,901394,930345,958475,985966,1017494,1074145,1043992,1058089,1071668,1224440,1240493,1254153,1267742
"75 a 79 anos",455776,478080,502133,526429,550569,574615,598584,622025,645081,667536,689371,714480,739998,733018,742900,752442,808678,818984,827798,836526
"80 anos e mais",350983,381913,411258,440846,470317,499678,528919,557540,585644,612987,639646,670332,724263,687671,696940,705849,862577,873458,882777,891985
