"Faixa Etária 2","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"De 15 a 19 anos",8950892,8962607,8951190,8914250,8852486,8779713,8713923,8667077,8643264,8637108,8626647,8609881,8589660,8561467,8523697,8463413,8368049,8241877,8091938,7936624,7788905,7667765,7535168,7418395
"De 20 a 24 anos",8283382,8499732,8673408,8798487,8880305,8923194,8935546,8924862,8888621,8827421,8726395,8611290,8531695,8488814,8471662,8465532,8455573,8428840,8384816,8347000,8306493,8234129,8119664,7974090
"De 25 a 29 anos",7284148,7417343,7582248,7783442,8013828,8251912,8468481,8642372,8767692,8849769,8870827,8839696,8792496,8724932,8633807,8530001,8432108,8352359,8295079,8272246,8277869,8285732,8274950,8248194
"De 30 a 34 anos",6857096,6910920,6976497,7053556,7141570,7247965,7381596,7546740,7747920,7978033,8203236,8393853,8544808,8648899,8708662,8725993,8708705,8663729,8588455,8493968,8396742,8308533,8239142,8196216
"De 35 a 39 anos",6400789,6519632,6616605,6695591,6757103,6809622,6864631,6931180,7008961,7097378,7197487,7317797,7470921,7660500,7877867,8100207,8298088,8450130,8550108,8608339,8628980,8614825,8574426,8508424
"De 40 a 44 anos",5563053,5729124,5892650,6048554,6198310,6336690,6456475,6554306,6633902,6695866,6745661,6794636,6855954,6928918,7011991,7111549,7235995,7389449,7576354,7792313,8014947,8210457,8361528,8465433
"De 45 a 49 anos",4632276,4802632,4972838,5142401,5311197,5478617,5645079,5809030,5965187,6114930,6251507,6367871,6462955,6540506,6600591,6651191,6703547,6766366,6839156,6922507,7021811,7140727,7289770,7477692
"De 50 a 54 anos",3714523,3871350,4031430,4194367,4360048,4528317,4697925,4867538,5036379,5204192,5369693,5533531,5695367,5850019,5998567,6135162,6252737,6348409,6426200,6487200,6537509,6582891,6640700,6714889
"De 55 a 59 anos",2924768,3029755,3153587,3292350,3440347,3592850,3748290,3906875,4068099,4231881,4397577,4563918,4730221,4896250,5061785,5225990,5389174,5549971,5703333,5850910,5984480,6090024,6176634,6255579
"De 60 a 64 anos",2470713,2525683,2576879,2630694,2696329,2780403,2885231,3008107,3145085,3290505,3439669,3591138,3745698,3903087,4063093,4225128,4387869,4550391,4712567,4874532,5031864,5178317,5325745,5476616
"De 65 a 69 anos",1979498,2034679,2096808,2162291,2226582,2287168,2342448,2394462,2448992,2514554,2597087,2699067,2818255,2951155,3091959,3235883,3381751,3530408,3681482,3834603,3985501,4125812,4268636,4424233
"De 70 a 74 anos",1579828,1616190,1651301,1687759,1728468,1775291,1829401,1890035,1953820,2016545,2074933,2127228,2176358,2228456,2291556,2370932,2468444,2581799,2707514,2840115,2971680,3095481,3221066,3358242
"De 75 a 79 anos",1107301,1162082,1212446,1257712,1298291,1335179,1369768,1403932,1439688,1479121,1523400,1573416,1628848,1687030,1743986,1797276,1845388,1890520,1938389,1996507,2066197,2143774,2234649,2344518
"De 80 anos ou mais",1217108,1256997,1304672,1358661,1418432,1483216,1551836,1622731,1694151,1765251,1835464,1905424,1976301,2049336,2124914,2202699,2284397,2371796,2463235,2554757,2635649,2692957,2745906,2825277
